,sha_x,author_x,html_url_x,sha_y,author_y,html_url_y,filename-spec,user_created_at
9,aa349f7eca38de1dac45c8106dca9fa440ed6b3a,AgentEnder,https://github.com/nrwl/nx/pull/31621,eec92a800fc4bd16934358bbc769cffd922f00bc,claude[bot],https://github.com/nrwl/nx/pull/31621,shared-options.spec.ts,2014-03-12T20:06:44Z
48,f0ddab9455d8ea62bf083d0f61235a7b943f625f,ReneWerner87,https://github.com/gofiber/fiber/pull/3583,7638c619623299d0db4c95e0474faa1f0ac226ab,Copilot,https://github.com/gofiber/fiber/pull/3583,,2014-03-25T20:54:30Z
10,92013bff3985b887aea041615ea42e50d0b33865,mldangelo,https://github.com/promptfoo/promptfoo/pull/2709,475eb6292b3083a4ece0feb482a9be72d87a96f5,devin-ai-integration[bot],https://github.com/promptfoo/promptfoo/pull/2698,openai.spec.ts,2014-04-09T07:27:59Z
40,fdc82d855b9cf6f74a41386e0ef403e25e94f90f,macalbert,https://github.com/macalbert/envilder/pull/56,f9ca3ab7def9bd230e35c187535419a3c16cefa3,dependabot[bot],https://github.com/macalbert/envilder/pull/56,Cli.spec.ts,2014-07-01T14:18:10Z
50,bae3926c0a4a9c6c43fa550506c2e5a65adc7688,yannbu,https://github.com/WorkflowAI/WorkflowAI/pull/509,07de096f84f8af434840007e59b79c44304864d7,cursoragent,https://github.com/WorkflowAI/WorkflowAI/pull/509,,2014-08-12T14:28:40Z
36,e9248b22b249b119a41c9338bc06ede1f407b23b,will-holley,https://github.com/promptfoo/promptfoo/pull/4107,1c013a51722848ffe2bc3a8621eca27291f0a37e,devin-ai-integration[bot],https://github.com/promptfoo/promptfoo/pull/2955,CustomIntentPluginSection.spec.tsx,2014-09-04T16:10:50Z
51,764684560a5f6c12257ccf6101ab1ba85d644616,0xfurai,https://github.com/0xfurai/peekaping/pull/101,78f282d31317a492c86c831bc08c7b61410a764d,cursoragent,https://github.com/0xfurai/peekaping/pull/101,,2015-03-11T11:16:11Z
47,4efc950a4cd56851d5f9fbb087c070d12fb89f13,kolaente,https://github.com/go-vikunja/vikunja/pull/1154,a4a0db7c290f8646a041f5d098c6b5bf4bfc589b,Copilot,https://github.com/go-vikunja/vikunja/pull/1154,,2015-08-09T20:47:44Z
37,8143c98727ade3767b2be473b1f0a6c499609626,MrFlounder,https://github.com/promptfoo/promptfoo/pull/4532,1c013a51722848ffe2bc3a8621eca27291f0a37e,devin-ai-integration[bot],https://github.com/promptfoo/promptfoo/pull/2955,CustomIntentPluginSection.spec.tsx,2015-08-13T01:17:33Z
54,c6b0ee6938095cb1f84ba11bfb2886e7722c6511,aldinokemal,https://github.com/aldinokemal/go-whatsapp-web-multidevice/pull/316,75e9cac568173ae9edfe001bd9f348701e240bfc,cursoragent,https://github.com/aldinokemal/go-whatsapp-web-multidevice/pull/313,,2015-09-11T08:50:29Z
58,176d0afab92afdd3345a6c7368da19556b454c87,stefanosiano,https://github.com/getsentry/sentry-java/pull/4555,f0e750fcca8a46df68b3eac068c20e0a7b4d0d04,cursoragent,https://github.com/getsentry/sentry-java/pull/4555,,2016-01-21T13:40:00Z
29,9ba5f84adc166fbf3a7ba94648994534e636dcd5,AbhiPrasad,https://github.com/getsentry/sentry-javascript/pull/16553,20d85e78ec311139130127d11d31fb1d49a0c177,cursoragent,https://github.com/getsentry/sentry-javascript/pull/16553,koa.spec.ts,2016-04-26T23:03:58Z
4,73d7d79a49215e7dc254326e5db96ce6e67ce269,chargome,https://github.com/getsentry/sentry/pull/94169,d073c3ef7f273090e4cda742ef426ec4840654bb,cursoragent,https://github.com/getsentry/sentry/pull/93946,index.spec.tsx,2016-07-02T09:32:40Z
15,d8dec583661c70bbf13053991ddc001da47b6b6d,nickscamara,https://github.com/mendableai/firecrawl/pull/1569,65314cc913817298d7a244b71acd46ebbe3bde95,devin-ai-integration[bot],https://github.com/mendableai/firecrawl/pull/1569,deep-research-service.spec.ts,2016-07-06T02:57:42Z
8,1b53dc9b73e070b469cd79daec5e65db1ee6eb15,buenaflor,https://github.com/getsentry/sentry/pull/95035,d073c3ef7f273090e4cda742ef426ec4840654bb,cursoragent,https://github.com/getsentry/sentry/pull/93946,index.spec.tsx,2016-11-09T17:54:09Z
1,4a2c0511cd9f6a3856c346292bbb8fb91049490d,hand-dot,https://github.com/pdfme/pdfme/pull/1059,430f68266653c0f54ca9bbb30f6982c9373855f5,devin-ai-integration[bot],https://github.com/pdfme/pdfme/pull/1059,PDFDocument.spec.ts,2016-12-30T15:41:24Z
5,d374fac257e5c1dbd0976fce031d5c38eb8d3585,ScriptedAlchemy,https://github.com/module-federation/core/pull/3883,4ee006b641752b8bf6730510be96a189dea9cef8,cursoragent,https://github.com/module-federation/core/pull/3883,echo.spec.ts,2017-01-22T03:02:00Z
27,d5dffa27dba9eb99e0effb88481ee50f4d781663,mattpocock,https://github.com/mattpocock/total-typescript-monorepo/pull/305,684b1efedd44094a738d8c1ea34809847ce3f334,cursoragent,https://github.com/mattpocock/total-typescript-monorepo/pull/291,article-from-transcript.spec.ts,2017-05-02T09:05:18Z
14,63564b5347f32e4d1ab611d3641913c935148fdd,MH4GF,https://github.com/liam-hq/liam/pull/2471,0e8e18059eada5a2ae875dfdccbd220e1a845861,devin-ai-integration[bot],https://github.com/liam-hq/liam/pull/2416,deepModeling.spec.ts,2017-08-19T06:09:40Z
13,8e6b3f78c2652d6980ca432db31210a2db643cba,Kitenite,https://github.com/onlook-dev/onlook/pull/1554,c8724db4f9f77fd6194fae102bea3823c3c278ad,devin-ai-integration[bot],https://github.com/onlook-dev/onlook/pull/1554,inject.spec.ts,2017-09-11T19:44:42Z
42,d5dcb19dec1218f96c250556143ce0b34d96408f,dylan-conway,https://github.com/oven-sh/bun/pull/19777,8a032031be4b7450dda9b118b3172421e2a102b9,claude[bot],https://github.com/oven-sh/bun/pull/19777,runtime-error.spec.ts,2018-01-10T01:07:14Z
30,67e1e3a7c95aed2e17c5d1002fb3ee3607654af7,anthonyshew,https://github.com/vercel/vercel/pull/13578,10d0ec019f612079e139384afed2d9e1ca70e780,cursoragent,https://github.com/vercel/vercel/pull/13578,list.spec.ts,2018-01-22T04:02:19Z
17,5006a3d232e8a4c9bfdc7b5daf25a7b7a8e8ab8d,sam-goodwin,https://github.com/sam-goodwin/alchemy/pull/239,f6afab081839ea82f6f2734550077813d1c53d0f,devin-ai-integration[bot],https://github.com/sam-goodwin/alchemy/pull/239,images.spec.ts,2018-04-23T22:08:57Z
28,de5e1cb6b4bc9239f3ec24e3db7f157855d2f906,luoling8192,https://github.com/groupultra/telegram-search/pull/269,17cba880c229d3bdddb9e04ede905c05c068fbab,cursoragent,https://github.com/groupultra/telegram-search/pull/246,index.spec.ts,2018-11-04T07:20:44Z
53,ae8b60ab14bdeaa18978de1f7ca3789afa7c38da,tarunKoyalwar,https://github.com/projectdiscovery/tlsx/pull/854,ee5c810169d123034e3ec64f864c6fa08c93d5b7,cursoragent,https://github.com/projectdiscovery/tlsx/pull/854,,2018-12-18T08:06:19Z
2,040e5c5830f57d6aafe159179e772db7e4ae1a42,roaga,https://github.com/getsentry/sentry/pull/93319,0a3368a3aff9d94bdca3c824d48c630dbb520b72,cursoragent,https://github.com/getsentry/sentry/pull/93319,seerNotices.spec.tsx,2019-02-21T15:32:58Z
16,a0c6749105555cb25bda2f772718bc86835028b9,NoritakaIkeda,https://github.com/liam-hq/liam/pull/2079,4046841ba0bcb328bb7180f348a7b530f4130b70,devin-ai-integration[bot],https://github.com/liam-hq/liam/pull/2047,timelineItemHelpers.spec.ts,2019-05-20T12:55:12Z
11,60268316f2d9ebc07ae9acfd33525e84d68b3d79,mogery,https://github.com/mendableai/firecrawl/pull/1716,6b8f75ae910b8db027bd4a08ae8bc08413aa252e,devin-ai-integration[bot],https://github.com/mendableai/firecrawl/pull/1413,crawl.spec.ts,2020-05-29T10:35:38Z
25,197cd9360af7759c9399d4c3012d19758be6bb49,talboren,https://github.com/keephq/keep/pull/5002,1aae8045b3c85b367db79ec1b700b08f50e9ac71,cursoragent,https://github.com/keephq/keep/pull/4994,alert-grouped-row.spec.tsx,2020-07-26T09:27:35Z
12,2abd971be66e915bac045e19b6e1b4d9f2132747,dallinbentley,https://github.com/buster-so/buster/pull/560,623aaf2fb1b9a4d533428005ce2d2f79cc02f570,devin-ai-integration[bot],https://github.com/buster-so/buster/pull/537,handler.spec.ts,2020-09-08T04:02:56Z
19,3e7291b7e2c44c87d353776acedbf3f09d4ffcc0,wtfsayo,https://github.com/elizaOS/eliza/pull/2589,03ec42073b20744e9404e5656dca1bf7e5a13de4,devin-ai-integration[bot],https://github.com/elizaOS/eliza/pull/2549,devinProvider.spec.ts,2021-04-06T17:38:35Z
59,ee55e7de2be8225ab04f994990b6fdfd852fb709,VerisimilitudeX,https://github.com/VerisimilitudeX/DNAnalyzer/pull/529,a42e9391b1249ab77a73bd2e78f421e6ce79c426,deepsource-autofix[bot],https://github.com/VerisimilitudeX/DNAnalyzer/pull/521,,2021-12-17T05:53:16Z
18,b2cf1725fcac1d55fb3b69f7f5a0f940c47e5142,nate-kelley-buster,https://github.com/buster-so/buster/pull/603,623aaf2fb1b9a4d533428005ce2d2f79cc02f570,devin-ai-integration[bot],https://github.com/buster-so/buster/pull/537,handler.spec.ts,2023-05-12T14:28:17Z
26,bb61edb853e6bcbceb1eb24d98c842ec35b90353,kocobee,https://github.com/agentmark-ai/agentmark/pull/306,79af5ee178774e32f56869a9ae9a5ec0c0e828bc,cursoragent,https://github.com/agentmark-ai/agentmark/pull/306,agentmark.spec.ts,2023-12-02T18:15:07Z
